010.001.d	84	2	90	2
010.001.e	85	1	91	1
010.001.f	86	1	92	1
010.001.g	87	1	93	1
010.001.g	87	1	94	2
010.001.h	88	1	95	1
010.002.0	89	1	96	1
010.007.0	90	1	100	1
010.007.0	90	1	101	2
010.007.0	90	1	102	3
011.035.0	91	1	126	1
011.035.0	91	1	127	2
011.036.0	92	1	128	1
012.037.a	93	1	148	1
012.037.a	93	1	149	2
012.037.0	94	1	150	1
012.037.0	94	1	151	2
012.037.0	94	1	152	3
012.037.0	94	1	153	4
012.037.0	94	1	154	5
012.037.0	95	2	150	1
012.037.0	95	2	151	2
012.037.0	95	2	152	3
012.037.0	95	2	153	4
012.037.0	95	2	154	5
012.038.0	96	3	155	1
012.038.0	96	3	156	2
012.038.0	96	3	157	3
012.038.0	96	3	158	4
012.038.0	96	3	159	5
012.044.0	97	1	160	1
012.044.0	97	1	161	2
012.044.0	97	1	162	3
012.061.0	98	1	163	1
012.061.0	98	1	164	2
012.074.0	99	1	165	1
012.074.0	99	1	166	2
012.074.0	99	1	167	3
012.074.0	99	1	168	4
012.074.0	99	1	169	5
014.000.b	100	1	176	1
014.000.c	101	1	177	1
014.001.0	102	1	178	1
014.001.0	102	1	179	2
014.001.0	102	1	180	3
014.001.0	103	2	178	1
014.001.0	103	2	179	2
014.001.0	103	2	180	3
014.001.a	104	1	181	1
014.001.a	104	1	182	2
014.001.a	104	1	183	3
014.001.b	105	1	184	1
014.001.c	106	1	185	1
014.001.d	107	1	186	1
014.001.e	108	1	187	1
014.001.f	109	1	188	1
014.002.0	110	1	189	1
014.002.0	110	1	190	2
014.002.0	110	1	191	3
014.002.0	110	1	192	4
014.003.0	111	1	193	1
014.007.a	113	1	194	1
014.007.a	113	1	195	2
014.007.0	114	1	196	1
014.007.0	114	1	197	2
014.007.0	114	1	198	3
014.009.0	115	1	199	1
014.009.0	115	1	200	2
014.014.0	116	1	201	1
014.014.0	116	1	202	2
014.014.0	117	2	201	1
014.014.0	117	2	202	2
014.015.0	118	1	203	1
014.031.0	119	1	204	1
014.031.0	119	1	205	2
014.045.0	120	1	207	1
014.045.0	120	1	208	2
014.045.0	120	1	209	3
014.045.0	120	1	210	4
014.045.0	120	1	211	5
014.045.0	120	1	212	6
014.045.a	121	1	213	1
014.049.0	122	1	214	1
014.049.0	122	1	215	2
014.055.0	123	1	216	1
014.061.0	124	1	217	1
015.039.0	125	1	235	1
015.039.0	125	1	236	2
015.039.a	126	1	237	1
015.039.b	127	1	238	1
015.065.0	128	1	239	1
015.065.0	128	1	240	2
015.065.a	129	1	241	1
015.065.b	130	1	242	1
018.026.0	131	1	271	1
018.026.0	131	1	272	2
018.036.s	132	1	273	1
018.036.s	132	1	274	2
023.001.c	133	1	319	1
023.001.d	134	1	320	1
023.054.a	135	1	326	1
023.054.0	136	1	327	1
023.054.0	136	1	328	2
027.000.a	137	1	353	1
029.001.0	138	1	388	1
029.001.0	138	1	389	2
029.001.0	138	1	390	3
029.001.a	139	1	391	1
029.001.b	140	1	392	1
029.002.0	141	1	393	1
029.003.0	142	1	394	1
029.003.0	143	2	394	1
029.004.0	144	1	395	1
029.008.0	145	1	396	1
029.008.0	145	1	397	2
029.056.0	146	1	398	1
029.056.0	146	1	399	2
029.057.0	147	1	400	1
029.060.0	148	1	401	1
029.060.0	148	1	402	2
029.060.0	148	1	403	3
029.068.0	149	1	404	1
029.068.0	149	1	405	2
029.068.0	149	1	406	3
029.068.0	149	1	407	4
029.068.0	149	1	408	5
029.068.0	149	1	409	6
029.068.0	149	1	410	7
029.068.0	149	1	411	8
029.068.0	149	1	412	9
029.068.0	149	1	413	10
029.068.0	149	1	414	11
029.068.0	149	1	415	12
029.068.0	149	1	416	13
029.068.0	149	1	417	14
029.068.0	149	1	418	15
030.001.0	150	1	419	1
030.002.0	151	1	420	1
030.003.0	152	1	421	1
030.003.0	152	1	422	2
030.004.0	153	1	423	1
030.005.0	154	1	424	1
030.006.0	155	1	425	1
031.001.0	156	1	426	1
031.001.b	157	1	427	1
031.002.0	158	1	428	1
031.022.0	159	1	429	1
031.037.0	160	1	430	1
031.038.0	161	1	431	1
031.039.0	162	1	432	1
031.039.0	163	2	432	1
031.040.0	164	1	433	1
031.041.0	165	1	434	1
031.044.0	166	1	435	1
031.071.0	167	1	436	1
031.071.0	167	1	437	2
031.105.0	168	1	438	1
031.105.0	168	1	439	2
031.116.0	169	1	440	1
031.116.0	169	1	441	2
032.001.0	170	1	442	1
032.001.a	171	1	443	1
032.002.0	172	1	445	1
032.002.0	172	1	446	2
032.002.0	172	1	447	3
